conv_id,full_conversation,empathy,relevance,fluency
hit:401_conv:803,"Seeker: The result of my final college exams was to be published the next day_comma_I could hardly sleep due to expectations 
 Seeker: The night WS the longest to me back then_comma_eager to know my score! 
 Supporter: Did you think you did well? 
 Seeker: Sure_comma_I put in my best ! I was positive! 
 Supporter: That's awesome! It can be nerve racking 
",3,5,5
hit:478_conv:956,"Seeker: when i was going for an interview i was so afraid as i could not tell the end results 
 Seeker: it was just yesterday when i was going for an interview and personally i was so afraid because i did not know what were the end results 
 Supporter: Yea I know how you feel_comma_ you just feel like you are in purgatory waiting for your demise. 
 Seeker: actually i woke up early in the morning and prepared my self fully for the task ahead of me 
 Supporter: Yea but i mean afterwards you dont know if you passed the interview 
 Seeker: i just received a call that i did good in my interview and i qualified to work with them. this made me so happy 
",4,5,4
hit:887_conv:1775,"Seeker: I felt really left out when my friends went to a theme park without me. It really bothers me that they didn't even tell me they were going. I really wish I could have gone 
 Seeker: My friends left me to go to the theme park. I feel really left out.  
 Supporter: You still consider them your friends after that? 
 Seeker: I've been friends with them for a long time_comma_ but I don't know they never even told me. 
 Supporter: That's messed up. 
",2,4,4
hit:965_conv:1930,"Seeker: I saw a shark in the water last week. 
 Seeker: I saw a shark in the water last week. 
 Supporter: Were you afraid or thrilled or both? 
 Seeker: I was afraid. 
 Supporter: Were you in the water? 
",2,5,5
hit:3379_conv:6758,"Seeker: During a work meeting_comma_ I was presenting and then suddenly my pant dropped. I felt so bad. 
 Seeker: During a work meeting_comma_ I was presenting and then suddenly my pant dropped. I felt so bad. 
 Supporter: Oh my gosh. Why did your pants fall? 
 Seeker: The pant button broke. After it felt. I was holding it up with my hands. 
 Supporter: Were you able to laugh it off or were you so mortified you wanted to crawl out of the room? 
",3,5,5
hit:3636_conv:7272,"Seeker: I hate being in public by myself. It gets me super nervous and I turn bright red. 
 Seeker: I hate being in public by myself. It gets me super nervous and I turn bright red. 
 Supporter: Oh_comma_ that must be so stressful. Does it happen all the time - like even at the grocery store? 
 Seeker: Sometimes_comma_ only when I am by myself. I am just an anxious person in general so there's that. 
 Supporter: Do you have someone to go places with you? Or do you just have to power through it? 
",4,5,5
hit:7112_conv:14224,"Seeker: When my mom was in the ER 
 Seeker: Last week my mom was in the ER_comma_ it was a horrible feeling 
 Supporter: wow thats so horrible 
 Seeker: Yes_comma_ and I don't know how it will all pay out 
 Supporter: hopefully well 
 Seeker: I gues so 
",2,3,5
hit:8681_conv:17362,"Seeker: I farted at work today. I never have been mortified in my life. 
 Seeker: I let out a moist_comma_ warm fart today in front of all of my co-workers today. 
 Supporter: You must be very comfortable in your office! How did they react? 
 Seeker: Some ran away in terror. Others in disgust. I think I sent one to the ER even. At any rate_comma_ I was mortified and I am sure I won't ever live this tragedy down. 
 Supporter: I am sorry that you now live in infamy. Maybe_comma_ with time_comma_ they can learn to forgive you. 
",2,4,5
hit:11447_conv:22894,"Seeker: When I was in middle school my sister left for college. I visited her dorm room and it was so cool. I wanted to be in college too. 
 Seeker: When I was in middle school_comma_ my older sister went to college_comma_ and I saw her dorm after she moved in. 
 Supporter: What was it like I have always wanted to live in a dorm and go to colledge? 
 Seeker: It was so cool. I really wanted to go to college just like her. 
 Supporter: Well you should have why didn't you? 
 Seeker: I was still in middle school! I wasn't old enough_comma_ but I really wished I could be there. 
",1,2,3
hit:12057_conv:24115,"Seeker: I accidentally dropped a dumbell on my toe at the gym. I felt so stupid. 
 Seeker: I accidentally droped a dumbell on my toe at the gym. I felt so freaking stupid. 
 Supporter: Did it hurt though 
 Seeker: Yeah it hurt and I was listening to music so I might have yelled a cuss word loudly. 
 Supporter: I am sorry_comma_ I would cuss too if it happened to me 
 Seeker: It hurt my pride more though lol 
",2,4,5
