conv_id,empathy,fluency,relevance,response_length
hit:401_conv:803,3.0,3.5,3.5,13
hit:478_conv:956,3.5,4.0,4.0,31
hit:887_conv:1775,4.0,5.0,5.0,11
hit:965_conv:1930,4.0,4.5,4.5,12
hit:3379_conv:6758,4.0,4.5,4.0,28
hit:3636_conv:7272,3.5,5.0,4.5,37
hit:7112_conv:14224,4.0,5.0,4.5,6
hit:8681_conv:17362,3.5,4.5,4.0,30
hit:11447_conv:22894,2.5,4.5,3.0,24
hit:12057_conv:24115,4.0,4.5,4.0,16
hit:529_conv:1059,5.0,5.0,5.0,14
hit:1670_conv:3341,5.0,5.0,5.0,8
hit:2088_conv:4177,5.0,5.0,5.0,36
hit:3735_conv:7470,5.0,5.0,5.0,16
hit:4103_conv:8207,5.0,5.0,5.0,63
hit:7797_conv:15594,5.0,5.0,5.0,31
hit:8986_conv:17972,5.0,5.0,5.0,19
hit:9116_conv:18233,4.0,5.0,4.5,18
hit:9349_conv:18698,5.0,5.0,5.0,17
hit:9988_conv:19976,5.0,5.0,5.0,32
hit:1490_conv:2981,4.5,4.5,5.0,39
hit:1502_conv:3005,5.0,5.0,5.0,27
hit:2097_conv:4194,5.0,5.0,5.0,24
hit:3104_conv:6209,5.0,5.0,5.0,12
hit:3931_conv:7863,4.5,5.0,5.0,21
hit:3961_conv:7922,5.0,5.0,5.0,14
hit:4090_conv:8181,5.0,5.0,5.0,27
hit:4233_conv:8466,4.5,5.0,4.5,15
hit:4345_conv:8691,5.0,5.0,5.0,44
hit:4722_conv:9445,5.0,4.5,5.0,24
hit:4844_conv:9689,4.5,5.0,4.5,15
hit:5323_conv:10646,3.5,5.0,4.5,17
hit:5574_conv:11149,5.0,5.0,5.0,39
hit:5579_conv:11158,5.0,5.0,5.0,27
hit:6053_conv:12106,4.0,4.5,4.0,12
hit:6367_conv:12734,5.0,5.0,5.0,24
hit:6613_conv:13226,5.0,5.0,5.0,8
hit:6759_conv:13519,4.0,4.5,4.0,23
hit:8012_conv:16024,5.0,5.0,5.0,27
hit:8290_conv:16581,5.0,5.0,5.0,17
hit:8311_conv:16622,5.0,5.0,5.0,16
hit:9338_conv:18676,5.0,5.0,5.0,29
hit:9772_conv:19545,5.0,5.0,5.0,21
hit:10145_conv:20290,4.5,5.0,5.0,19
hit:10264_conv:20529,5.0,5.0,5.0,28
hit:11090_conv:22181,5.0,5.0,5.0,35
hit:11786_conv:23572,5.0,5.0,5.0,40
hit:11794_conv:23589,5.0,3.5,3.0,11
hit:12267_conv:24535,5.0,5.0,5.0,35
hit:12276_conv:24553,5.0,5.0,5.0,50
