,conversation_id,validating_emotions,encouraging_elaboration,demonstrating_understanding,advice_giving,self_oriented,dismissing_emotions
0,20241031124050492385,1.0,1.0,1.0,5.0,1.0,4.0
1,20241031124638971163,1.0,1.0,1.0,3.0,4.0,4.0
2,20241031125810052721,1.0,1.0,1.0,1.0,1.0,4.0
3,20241031125849757353,2.0,2.0,1.0,5.0,1.0,3.0
4,20241031130310482335,2.0,3.0,1.0,1.0,1.0,1.0
5,20241031131104204354,2.0,2.0,1.0,3.0,1.0,2.0
6,20241031141852450492,3.0,1.0,1.0,4.0,3.0,2.0
7,20241031142002371691,2.0,2.0,1.0,4.0,1.0,3.0
8,20241031142025401692,2.0,2.0,1.0,4.0,3.0,4.0
9,20241031142326744348,1.0,3.0,1.0,5.0,1.0,4.0
10,20241031142343248156,2.0,2.0,1.0,5.0,4.0,3.0
11,20241031142609584451,2.0,4.0,1.0,4.0,1.0,3.0
12,20241031142631374406,2.0,1.0,1.0,5.0,1.0,4.0
13,20241031142911674809,4.0,3.0,2.0,1.0,1.0,1.0
14,20241031142922509539,2.0,2.0,1.0,2.0,1.0,3.0
15,20241031142939150275,1.0,3.0,1.0,5.0,1.0,4.0
16,20241031143012041613,1.0,2.0,1.0,4.0,1.0,4.0
17,20241031143018571296,2.0,3.0,1.0,5.0,3.0,4.0
18,20241031143028878832,1.0,1.0,1.0,5.0,1.0,5.0
19,20241031143107374365,2.0,3.0,1.0,4.0,1.0,3.0
20,20241031143420587455,3.0,3.0,1.0,4.0,1.0,2.0
21,20241031143614621777,4.0,3.0,2.0,1.0,1.0,1.0
22,20241031143623775499,2.0,3.0,1.0,5.0,4.0,3.0
23,20241031143714391442,2.0,4.0,1.0,2.0,1.0,2.0
24,20241031143721849193,1.0,1.0,1.0,5.0,3.0,4.0
25,20241031143941950562,1.0,3.0,1.0,3.0,2.0,4.0
26,20241031144011171565,3.0,2.0,2.0,3.0,1.0,2.0
27,20241031144225966527,2.0,3.0,1.0,4.0,1.0,3.0
28,20241031144237228364,2.0,3.0,1.0,4.0,1.0,2.0
29,20241031144350174874,2.0,3.0,2.0,4.0,5.0,2.0
30,20241031144401095945,1.0,1.0,1.0,5.0,1.0,4.0
31,20241031144410053256,2.0,4.0,2.0,3.0,1.0,2.0
32,20241031144618187410,2.0,4.0,1.0,4.0,1.0,3.0
33,20241031144657019855,2.0,2.0,1.0,4.0,1.0,3.0
34,20241031144740239368,2.0,2.0,1.0,5.0,2.0,4.0
35,20241031144856903579,3.0,3.0,2.0,4.0,1.0,2.0
36,20241031145050008738,1.0,3.0,1.0,5.0,2.0,4.0
37,20241031145103738386,2.0,4.0,1.0,2.0,1.0,3.0
38,20241031145117414259,3.0,4.0,2.0,3.0,4.0,2.0
39,20241031145139367719,2.0,2.0,1.0,4.0,1.0,3.0
40,20241031145619979111,2.0,3.0,1.0,4.0,1.0,2.0
41,20241031145640298594,3.0,4.0,2.0,2.0,3.0,1.0
42,20241031145659196118,2.0,3.0,1.0,5.0,3.0,4.0
43,20241031145710438129,2.0,4.0,1.0,4.0,1.0,3.0
44,20241031145838989513,2.0,1.0,1.0,5.0,2.0,4.0
45,20241031145848519908,3.0,1.0,2.0,3.0,2.0,2.0
46,20241031150235217462,3.0,4.0,2.0,4.0,2.0,2.0
47,20241031150253617689,3.0,2.0,2.0,3.0,1.0,2.0
48,20241031150257546670,2.0,3.0,1.0,3.0,1.0,3.0
49,20241031150832963315,2.0,3.0,2.0,4.0,1.0,3.0
