conversation_id,validating_emotions,encouraging_elaboration,demonstrating_understanding,self_oriented,advice_giving,dismissing_emotions
20241031124050492385,2.6666666666666665,2.3333333333333335,3.0,1.6666666666666667,2.6666666666666665,2.0
20241031124638971163,3.0,1.75,2.75,3.5,3.25,2.25
20241031125810052721,4.0,3.3333333333333335,2.3333333333333335,1.0,1.6666666666666667,1.3333333333333333
20241031125849757353,3.0,3.6666666666666665,4.0,2.0,2.0,2.0
20241031130310482335,3.6666666666666665,4.666666666666667,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335
20241031131104204354,4.333333333333333,3.3333333333333335,1.6666666666666667,2.3333333333333335,2.6666666666666665,2.3333333333333335
20241031141852450492,4.0,2.8333333333333335,4.0,3.8333333333333335,3.1666666666666665,2.1666666666666665
20241031142002371691,2.3333333333333335,3.6666666666666665,3.0,2.0,3.3333333333333335,1.0
20241031142025401692,3.6666666666666665,2.6666666666666665,3.0,2.6666666666666665,3.3333333333333335,1.6666666666666667
20241031142326744348,1.3333333333333333,2.0,2.3333333333333335,1.6666666666666667,2.6666666666666665,2.3333333333333335
20241031142343248156,3.4,3.6,3.0,3.2,3.0,2.2
20241031142609584451,1.8,4.6,1.4,1.0,4.0,2.0
20241031142631374406,2.727272727272727,1.8181818181818181,2.7,2.1,3.6,2.7777777777777777
20241031142911674809,4.75,4.5,3.75,1.5,2.25,1.25
20241031142922509539,5.0,3.3333333333333335,3.0,1.0,2.0,1.0
20241031142939150275,2.0,3.25,2.0,1.0,3.0,3.25
20241031143012041613,3.5,4.25,4.0,2.0,2.0,1.25
20241031143018571296,3.3333333333333335,3.8333333333333335,2.1666666666666665,4.166666666666667,4.833333333333333,2.6666666666666665
20241031143028878832,1.25,1.0,1.5,1.5,4.75,3.75
20241031143107374365,1.0,4.5,1.5,3.0,4.0,3.0
20241031143420587455,3.0,3.0,4.5,2.5,4.0,3.0
20241031143614621777,4.666666666666667,4.0,3.0,2.0,1.5,1.1666666666666667
20241031143623775499,3.0,4.0,4.5,3.5,2.5,2.0
20241031143714391442,4.0,4.333333333333333,3.3333333333333335,2.3333333333333335,3.3333333333333335,3.0
20241031143721849193,3.25,2.0,3.0,3.25,3.5,3.25
20241031143941950562,2.3333333333333335,3.3333333333333335,2.0,1.3333333333333333,1.3333333333333333,2.0
20241031144011171565,4.0,3.2,2.6,1.2,1.4,1.2
20241031144225966527,4.5,4.5,3.25,2.5,4.5,2.5
20241031144237228364,4.5,4.0,4.0,1.5,4.0,2.5
20241031144350174874,3.5,3.0,3.0,2.5,2.5,2.5
20241031144401095945,2.3333333333333335,4.0,2.6666666666666665,2.0,3.6666666666666665,4.333333333333333
20241031144410053256,4.0,4.5,4.5,2.5,2.0,3.5
20241031144618187410,4.5,4.5,2.5,1.0,2.5,1.0
20241031144657019855,3.0,3.75,2.75,2.0,3.625,1.875
20241031144740239368,3.0,3.5,2.0,2.0,2.5,1.0
20241031144856903579,4.2,4.2,3.0,2.4,3.2,3.4
20241031145050008738,2.5,4.0,3.5,1.5,2.5,1.5
20241031145103738386,4.0,4.666666666666667,3.6666666666666665,1.0,1.3333333333333333,1.3333333333333333
20241031145117414259,3.7,4.0,2.7777777777777777,3.111111111111111,2.2222222222222223,1.2222222222222223
20241031145139367719,3.25,3.5,3.0,2.25,3.75,1.5
20241031145619979111,4.4,4.4,3.4,1.8,3.0,1.0
20241031145640298594,4.3,4.5,4.1,2.0,2.2,1.5
20241031145659196118,2.75,3.5,2.75,3.0,2.5,3.0
20241031145710438129,4.0,4.5,3.5,2.0,2.5,2.25
20241031145838989513,2.0,2.5,1.0,2.0,3.5,3.0
20241031145848519908,4.666666666666667,3.0,3.6666666666666665,2.0,4.0,2.0
20241031150235217462,4.5,5.0,4.5,1.0,2.5,1.0
20241031150253617689,3.5,2.5,3.5,2.0,3.0,3.0
20241031150257546670,4.25,4.25,2.75,1.0,2.75,1.25
20241031150832963315,3.5,3.0,2.0,1.6666666666666667,4.0,2.0
