,id,m_understood,m_validated,m_affirmed,m_seen,m_accepted,m_caredfor,m_emotional,m_practical,m_motivation
0,56e8bf5a870a8e000b4a8d6e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,57e7bb4e73e67300012b8e2a,2.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,2.0
2,58509fbda6946500016117ed,2.0,2.0,3.0,2.0,3.0,3.0,3.0,5.0,4.0
3,5850d667b64b9e00017cb722,5.0,5.0,5.0,4.0,5.0,5.0,4.0,1.0,4.0
4,59e7477e3e4b5a00016aa4d2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0
5,5bcc2cee0ba8a400012592f9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
6,5bfd81fb2feab400014d9060,2.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,5.0
7,5c0fcccc1f6f150001487111,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0
8,5c5b9ed5cdae0e0001c1b261,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0
9,5cb489ff0cd1ed0017465d19,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0
10,5d8e64ab4e055600157a3d90,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0
11,5dab673188c639001080bec6,3.0,5.0,4.0,4.0,4.0,4.0,3.0,1.0,3.0
12,5dcf0b7cffc3d8063f916612,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0
13,5e1c71e9114df8000dddf2d6,3.0,3.0,3.0,3.0,3.0,3.0,2.0,6.0,3.0
14,5e84f020507cd30b367b2624,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0
15,5ee5e3b02eebe932ee9559c5,3.0,2.0,3.0,3.0,3.0,3.0,2.0,6.0,3.0
16,5f4738bfa043201203a27b4b,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0
17,5f81ead00afba52e71dcf414,4.0,5.0,5.0,4.0,5.0,5.0,4.0,1.0,3.0
18,5fc3d41149c0c8728f07b95b,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0
19,5fdfab734a329d034b0ea666,2.0,2.0,2.0,2.0,2.0,3.0,2.0,7.0,2.0
20,60008e2ee4d8c913c602e0cd,3.0,3.0,3.0,3.0,3.0,4.0,5.0,2.0,5.0
21,603fa7d057d382087d66d1c2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
22,608bfa04767191aa4d57bfd8,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0
23,609122350e5b8e743ab41f79,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,4.0
24,60f4e3ab507bbb123f866e88,2.0,2.0,2.0,2.0,2.0,3.0,2.0,6.0,3.0
25,60fd080d5476f4a77211bafb,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
26,60fd462512ad2ae6071668f3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
27,614e7ad7ff5a0d785d5e550a,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0
28,629531cb501e6d23d9797050,2.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,3.0
29,629668d2eeced89db00b93bf,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
30,62cbf51439a76e8fccd8a495,3.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0
31,62e05a40c77214b0772d5596,2.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,2.0
32,632e9aa62793c18a857aece4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
33,63386e75b02c4d7013c1198b,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0
34,6361560a2e3e691ad312fed2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0
35,6387db71396bd54b2e9fcd09,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
36,638bb18e1bd657c755e5148f,2.0,2.0,3.0,2.0,3.0,3.0,3.0,6.0,5.0
37,6390fd9157f0dc14e247a0d6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,3.0
38,639dd20ab47fd76a4fd9c2c0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,5.0
39,63c13fcab1eda5bbe034a17c,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0
40,63d13d00a2e69ec8e1956a07,5.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,4.0
41,63d1834e69a637cd32f16634,3.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,4.0
42,63d455d193df3edfdfa6529f,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0
43,63d7eca29f0291aff53b003e,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0
44,63f77fef0855adb7fa65873d,2.0,2.0,3.0,2.0,2.0,3.0,1.0,6.0,4.0
45,63fb73b8e64f455117b045b9,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,4.0
46,6428f7ac297e312f7262d93b,2.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0
47,6435d9620649d3801b71cc8b,2.0,2.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0
48,6455616c0fe23ecca70ce1b9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0
49,6483b3662d98a34fa389dcd7,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,5.0
