id,m_understood,m_validated,m_affirmed,m_seen,m_accepted,m_caredfor,m_emotional,m_practical,m_motivation
63fb73b8e64f455117b045b9,5,5,4,4,6,4,3,7,6
6361560a2e3e691ad312fed2,1,1,1,1,1,1,1,7,4
5c5b9ed5cdae0e0001c1b261,5,3,3,4,3,2,2,1,2
5f81ead00afba52e71dcf414,7,7,7,7,7,4,3,1,5
5e1c71e9114df8000dddf2d6,6,4,4,5,4,2,1,5,5
629531cb501e6d23d9797050,5,3,3,3,3,2,1,7,5
63386e75b02c4d7013c1198b,6,7,7,7,7,6,4,3,6
6390fd9157f0dc14e247a0d6,3,2,2,2,4,2,1,6,6
57e7bb4e73e67300012b8e2a,3,2,2,2,2,1,1,7,3
5fc3d41149c0c8728f07b95b,5,4,4,4,5,5,4,5,4
632e9aa62793c18a857aece4,5,4,3,3,4,3,2,2,4
63d455d193df3edfdfa6529f,6,6,5,5,4,3,5,4,5
603fa7d057d382087d66d1c2,2,2,2,1,1,1,2,1,1
58509fbda6946500016117ed,7,7,6,6,6,5,3,6,6
5dcf0b7cffc3d8063f916612,7,7,7,7,7,5,5,5,6
63c13fcab1eda5bbe034a17c,5,4,4,4,3,2,2,4,5
63d7eca29f0291aff53b003e,6,6,6,5,5,4,4,5,5
63d13d00a2e69ec8e1956a07,4,3,3,3,3,2,1,1,4
6428f7ac297e312f7262d93b,4,4,4,3,3,3,3,4,3
614e7ad7ff5a0d785d5e550a,2,2,2,1,3,1,2,3,3
5cb489ff0cd1ed0017465d19,5,5,5,5,6,4,4,4,5
62e05a40c77214b0772d5596,3,2,2,2,3,1,1,5,3
5bcc2cee0ba8a400012592f9,3,3,4,2,2,2,1,2,2
5d8e64ab4e055600157a3d90,4,3,3,3,3,2,3,5,4
5bfd81fb2feab400014d9060,4,2,4,2,4,3,3,5,6
60f4e3ab507bbb123f866e88,4,2,2,2,3,2,2,4,3
639dd20ab47fd76a4fd9c2c0,6,6,6,5,6,5,5,3,6
6483b3662d98a34fa389dcd7,5,5,5,5,5,4,2,3,6
638bb18e1bd657c755e5148f,5,4,4,3,5,4,4,5,5
60008e2ee4d8c913c602e0cd,5,5,4,6,6,5,4,4,5
5c0fcccc1f6f150001487111,3,2,2,2,3,2,2,1,3
6455616c0fe23ecca70ce1b9,2,2,2,1,1,1,1,3,4
608bfa04767191aa4d57bfd8,3,2,2,2,2,2,1,3,3
59e7477e3e4b5a00016aa4d2,1,1,1,1,1,1,1,2,1
63f77fef0855adb7fa65873d,4,1,1,1,1,1,1,4,5
6435d9620649d3801b71cc8b,6,5,4,4,4,4,3,3,6
5f4738bfa043201203a27b4b,3,3,2,2,2,2,3,2,3
5850d667b64b9e00017cb722,4,4,3,3,4,2,4,1,5
60fd080d5476f4a77211bafb,3,3,2,1,2,2,2,1,1
629668d2eeced89db00b93bf,3,3,3,1,2,1,2,1,3
56e8bf5a870a8e000b4a8d6e,3,1,1,1,1,1,1,1,1
60fd462512ad2ae6071668f3,3,2,1,1,1,1,1,2,2
6387db71396bd54b2e9fcd09,3,2,1,1,2,1,1,3,2
5e84f020507cd30b367b2624,5,5,4,3,4,4,2,5,6
5dab673188c639001080bec6,3,3,3,1,2,2,3,1,3
5fdfab734a329d034b0ea666,3,2,2,1,1,1,1,3,3
5ee5e3b02eebe932ee9559c5,4,4,3,3,3,2,3,5,5
62cbf51439a76e8fccd8a495,4,4,3,2,3,3,4,3,4
63d1834e69a637cd32f16634,5,5,5,4,4,3,5,1,5
609122350e5b8e743ab41f79,5,4,4,3,3,2,4,3,5
