id,m_understood,m_validated,m_affirmed,m_seen,m_accepted,m_caredfor,m_emotional,m_practical,m_motivation
63fb73b8e64f455117b045b9,1,2,2,2,2,3,1,7,5
6361560a2e3e691ad312fed2,1,1,1,1,1,1,1,6,1
5c5b9ed5cdae0e0001c1b261,4,3,4,4,4,3,2,1,2
5f81ead00afba52e71dcf414,6,7,7,6,7,7,7,1,4
5e1c71e9114df8000dddf2d6,4,3,3,2,3,3,1,6,4
629531cb501e6d23d9797050,1,1,1,1,1,1,1,7,3
63386e75b02c4d7013c1198b,5,6,7,5,6,6,6,1,5
6390fd9157f0dc14e247a0d6,1,1,1,1,1,1,1,7,3
57e7bb4e73e67300012b8e2a,1,1,1,1,1,2,1,5,2
5fc3d41149c0c8728f07b95b,2,2,2,2,2,2,2,5,3
632e9aa62793c18a857aece4,4,4,5,4,4,4,3,1,4
63d455d193df3edfdfa6529f,6,7,6,6,7,6,6,3,6
603fa7d057d382087d66d1c2,6,6,5,4,5,4,4,1,2
58509fbda6946500016117ed,3,3,3,3,3,3,5,5,2
5dcf0b7cffc3d8063f916612,4,3,3,3,4,4,5,2,4
63c13fcab1eda5bbe034a17c,2,2,2,2,2,2,2,6,3
63d7eca29f0291aff53b003e,3,3,3,3,3,3,4,5,4
63d13d00a2e69ec8e1956a07,7,7,6,6,7,5,2,1,6
6428f7ac297e312f7262d93b,3,3,4,3,3,4,3,5,4
614e7ad7ff5a0d785d5e550a,2,2,2,2,2,2,3,3,2
5cb489ff0cd1ed0017465d19,3,4,4,3,4,4,3,4,5
62e05a40c77214b0772d5596,2,1,2,1,2,2,2,6,2
5bcc2cee0ba8a400012592f9,2,2,2,2,2,2,1,3,2
5d8e64ab4e055600157a3d90,3,3,3,3,3,3,3,5,4
5bfd81fb2feab400014d9060,3,2,2,2,2,3,6,3,5
60f4e3ab507bbb123f866e88,2,3,2,3,3,2,2,7,2
639dd20ab47fd76a4fd9c2c0,4,3,5,4,4,5,5,3,5
6483b3662d98a34fa389dcd7,4,4,3,4,3,3,4,3,5
638bb18e1bd657c755e5148f,3,3,3,3,3,3,5,6,5
60008e2ee4d8c913c602e0cd,4,4,4,4,4,5,6,2,4
5c0fcccc1f6f150001487111,5,6,5,5,5,3,4,1,3
6455616c0fe23ecca70ce1b9,1,1,1,1,1,2,2,4,3
608bfa04767191aa4d57bfd8,3,3,2,2,2,3,3,4,3
59e7477e3e4b5a00016aa4d2,2,1,1,1,2,2,1,4,2
63f77fef0855adb7fa65873d,3,2,2,2,2,2,1,6,5
6435d9620649d3801b71cc8b,4,3,4,4,5,4,5,3,5
5f4738bfa043201203a27b4b,4,6,5,4,4,4,3,1,3
5850d667b64b9e00017cb722,5,6,6,5,6,6,5,1,5
60fd080d5476f4a77211bafb,5,4,5,4,5,4,4,1,2
629668d2eeced89db00b93bf,3,4,3,3,4,3,4,3,2
56e8bf5a870a8e000b4a8d6e,2,2,2,3,1,1,2,1,1
60fd462512ad2ae6071668f3,2,2,3,2,3,3,3,2,2
6387db71396bd54b2e9fcd09,2,3,2,2,2,2,2,4,2
5e84f020507cd30b367b2624,3,4,3,3,3,3,3,5,5
5dab673188c639001080bec6,6,6,6,6,7,5,5,1,4
5fdfab734a329d034b0ea666,2,2,2,2,2,2,1,7,2
5ee5e3b02eebe932ee9559c5,4,4,4,3,5,4,4,6,5
62cbf51439a76e8fccd8a495,4,4,5,4,5,4,3,1,3
63d1834e69a637cd32f16634,6,6,7,6,6,6,5,2,4
609122350e5b8e743ab41f79,3,3,3,3,3,3,3,5,3
