,Dataset,Dimension,Experts Spearman Rank Correlation,Gemini 1.5 Flash Spearman Rank Correlation,Gemini 2.0 Flash Spearman Rank Correlation,Gemini 2.5 Pro Spearman Rank Correlation,GPT 4o Spearman Rank Correlation,Experts Weighted Cohen's Kappa,Gemini 1.5 Flash Weighted Cohen's Kappa,Gemini 2.0 Flash Weighted Cohen's Kappa,Gemini 2.5 Pro Weighted Cohen's Kappa,GPT 4o Weighted Cohen's Kappa
0,RPG Fewshot,validating_emotions,0.48,0.62,0.63,0.66,0.59,0.25,0.43,0.55,0.49,0.58
1,RPG Fewshot,encouraging_elaboration,0.76,0.78,0.82,0.84,0.71,0.69,0.74,0.71,0.75,0.71
2,RPG Fewshot,demonstrating_understanding,0.58,0.59,0.49,0.59,0.51,0.47,0.39,0.42,0.64,0.51
3,RPG Fewshot,advice_giving,0.79,0.74,0.63,0.82,0.79,0.7,0.72,0.61,0.58,0.68
4,RPG Fewshot,self_oriented,0.85,0.92,0.87,0.86,0.86,0.82,0.79,0.87,0.7,0.75
5,RPG Fewshot,dismissing_emotions,0.48,0.57,0.39,0.42,0.37,0.35,0.44,0.26,0.14,0.18
0,RPG CoT,validating_emotions,0.48,0.63,,0.66,0.72,0.25,0.21,,0.39,0.41
1,RPG CoT,encouraging_elaboration,0.76,0.55,,0.78,0.68,0.69,0.34,,0.58,0.61
2,RPG CoT,demonstrating_understanding,0.58,0.16,,0.77,0.28,0.47,0.09,,0.68,0.22
3,RPG CoT,advice_giving,0.79,0.4,,0.81,0.6,0.7,0.29,,0.57,0.38
4,RPG CoT,self_oriented,0.85,0.64,,0.83,0.75,0.82,0.3,,0.65,0.53
5,RPG CoT,dismissing_emotions,0.48,0.29,,0.59,0.13,0.35,0.19,,0.13,0.08
0,Perceived Empathy,m_understood,0.62,0.58,,0.67,0.64,0.6,0.43,,0.65,0.32
1,Perceived Empathy,m_validated,0.59,0.5,,0.6,0.53,0.59,0.45,,0.57,0.31
2,Perceived Empathy,m_affirmed,0.53,0.47,,0.63,0.49,0.49,0.42,,0.6,0.32
3,Perceived Empathy,m_seen,0.54,0.58,,0.61,0.61,0.55,0.45,,0.61,0.32
4,Perceived Empathy,m_accepted,0.47,0.42,,0.46,0.33,0.43,0.38,,0.4,0.18
5,Perceived Empathy,m_caredfor,0.55,0.43,,0.47,0.46,0.55,0.41,,0.47,0.26
6,Perceived Empathy,m_emotional,0.73,0.55,,0.75,0.69,0.74,0.48,,0.74,0.58
7,Perceived Empathy,m_practical,0.77,0.7,,0.72,0.64,0.77,0.7,,0.69,0.69
8,Perceived Empathy,m_motivation,0.77,0.63,,0.67,0.59,0.66,0.54,,0.66,0.37
0,Empathetic Dialogues,empathy,0.63,0.31,,0.65,0.57,0.51,0.19,,0.44,0.21
1,Empathetic Dialogues,relevance,0.23,0.46,,0.36,0.47,0.44,0.12,,0.42,0.17
2,Empathetic Dialogues,fluency,0.25,0.13,,0.4,0.18,0.28,0.03,,0.4,0.06
0,EPITOME Fewshot,level_emotional_reactions,0.41,0.61,,0.67,0.71,0.35,0.55,,0.51,0.56
1,EPITOME Fewshot,level_explorations,0.82,0.49,,0.66,0.74,0.76,0.56,,0.77,0.74
2,EPITOME Fewshot,level_interpretations,0.41,0.63,,0.66,0.24,0.26,0.41,,0.56,0.08
0,EPITOME Fewshot,level_emotional_reactions,0.41,0.55,,0.7,0.76,0.35,0.42,,0.46,0.69
1,EPITOME Fewshot,level_explorations,0.82,0.5,,0.88,0.64,0.76,0.42,,0.86,0.74
2,EPITOME Fewshot,level_interpretations,0.41,0.63,,0.68,0.66,0.26,0.56,,0.47,0.58
