id,happiness_d,sadness_d,fear_d,anger_d,surprise_d,disgust_d,age_d,gender_d,edu_d,race_d,race_d_5_TEXT,employment_d,political_d,class_d,ladder_d,happiness_ai,sadness_ai,fear_ai,anger_ai,surprise_ai,disgust_ai,happiness_r,sadness_r,fear_r,anger_r,surprise_r,disgust_r,understood,validated,affirmed,seen,accepted,caredfor,accuracy1,accuracy2,knewmean_p,knewmean_b,understood_p,understood_b,close_p,connect_p,trust_p,close_b,connect_b,trust_b,lonely,connected,distressed,excited,upset,guilty,scared,enthusiastic,ashamed,nervous,happy,sad,surprised,hopeful,optimistic,ambivalent,uneasy,unnerved,creeped,uncomfortable,bothered,loneliness1,loneliness2,loneliness3,convey.thoughts,have.exp,longing.or.hoping,exp.embrssment,understand.feeling,feel.afraid,feel.hungry,exp.joy,remember,tell.right.from.wrong,exp.pain,personality,make.plans,exp.pleasure,exp.pride,exp.anger,self.restraint,think,familiar_bing,familiar_gpt,familiar_bard,often_bing,often_gpt,often_bard,atti_bing,atti_gpt,atti_bard,loneliness,responseR,labelR,empathicaccuracy.ai,empathicaccuracy.r,experience,agency,feelheard,accuracy,understoodme,connection,statelonely,excitement,hope,fear,discomfort,distress,shame
614ea93d581d6f4281e9d232,2,7,5,5,4,3,38,Female,3,3,,9,2,2,4,1,6,5,4,2,3,NA,NA,NA,NA,NA,NA,6,5,5,6,6,6,6,6,NA,7,NA,7,NA,NA,NA,6,6,6,3,3,3,3,4,5,4,4,4,4,2,4,2,3,5,5,1,1,1,4,6,4,3,3,6,5,5,4,6,4,1,5,7,6,2,5,5,2,5,2,4,7,3,3,1,1,3,1,3,2,0,3.333333333,ai response,ai label,0.833333333,NA,3.636363636,5.857142857,5.666666667,6,7,6,3,3.5,4,4,2,4.25,4.5
5dd5378596afdf4eb31c657b,4,6,5,5,1,1,44,Female,5,3,,12,1,2,4,2,6,7,5,4,2,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,NA,7,NA,7,NA,NA,NA,7,7,7,1,7,1,4,1,1,1,5,1,1,5,1,5,7,7,2,1,1,1,1,1,2,4,4,5,6,1,1,1,1,1,2,7,1,1,6,2,1,1,1,1,7,4,7,1,1,6,1,3,3,0,3.333333333,ai response,ai label,1.333333333,NA,2,3.428571429,7,7,7,7,4,4.5,7,1,1,1,1
6413586e7bdde1f6740283b8,4,4,1,1,1,1,37,Make,3,NA,,9,3,2,5,1,4,3,3,2,2,NA,NA,NA,NA,NA,NA,5,4,4,3,3,4,4,5,NA,4,NA,4,NA,NA,NA,3,3,3,1,4,1,1,1,1,1,1,1,1,4,1,1,4,4,4,1,1,3,1,1,3,3,3,4,3,2,2,3,2,2,2,5,3,2,2,4,2,2,2,3,4,1,3,1,1,3,1,0,0,0,3,ai response,ai label,1.5,NA,2.090909091,3.714285714,3.833333333,4.5,4,3,2.5,1,4,1,1,1,1
61548e103213611528722709,2,4,4,3,2,2,25,Male,5,2,,9,4,3,6,1,5,6,4,3,2,NA,NA,NA,NA,NA,NA,6,6,5,6,6,5,5,5,6,NA,5,NA,5,5,6,NA,NA,NA,3,5,3,2,2,2,2,3,2,2,4,2,2,4,5,2,2,4,1,2,2,4,3,4,2,2,1,1,3,1,1,2,5,4,1,2,4,1,2,1,2,4,4,6,1,1,3,1,0,1,0,3.666666667,ai response,human label,1,NA,1.363636364,3.428571429,5.666666667,5,5.5,5.333333333,4,2.5,4.5,2,2.666666667,2.25,2
6152be1021c9ab590015a3e3,2,6,1,5,4,4,33,female,4,3,,9,6,2,4,1,7,5,6,2,4,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,NA,7,NA,6,6,5,NA,NA,NA,2,6,1,4,1,1,1,4,1,1,5,1,4,6,5,4,1,4,1,1,1,4,4,4,5,6,4,4,6,5,2,4,6,6,4,5,4,4,5,4,4,6,4,5,1,1,2,1,0,0,0,4,ai response,human label,1.5,NA,4.272727273,5.285714286,7,7,7,5.666666667,4,4,5.5,1,2,1,1
5c8570c3bce73c00178c4dc6,1,7,7,7,7,7,52,Female,3,3,,14,2,1,2,1,7,7,7,6,7,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,4,4,7,NA,7,NA,7,7,7,NA,NA,NA,4,6,2,3,4,1,2,6,1,4,4,5,3,6,7,3,4,2,1,3,4,5,5,5,5,5,2,3,5,2,3,5,5,5,2,3,5,2,2,3,5,5,1,2,1,1,1,1,1,1,1,5,ai response,human label,0.166666667,NA,2.909090909,5,7,4,7,7,5,4.5,6.5,3,3,3.75,1
5ecaf0fa5c1f7f6599d959ff,2,6,5,1,2,1,48,male,2,3,,9,6,3,5,1,6,6,2,3,1,NA,NA,NA,NA,NA,NA,6,4,4,6,6,7,5,7,5,NA,6,NA,5,5,6,NA,NA,NA,4,3,3,2,2,3,5,2,1,6,2,3,1,5,6,1,2,1,1,4,4,4,4,4,6,4,5,2,6,4,1,2,4,4,1,4,5,1,3,3,6,6,2,6,1,1,4,1,0,0,0,4,ai response,human label,0.666666667,NA,2.727272727,5.285714286,5.5,6,5.5,5.333333333,3.5,2,5.5,5.5,2.333333333,3,2
62c4dbae8fb1ff9cd93a3150,2,1,4,1,1,1,40,male,5,3,,9,6,3,5,1,5,6,4,2,3,3,4,6,1,1,1,7,7,7,6,6,6,6,7,7,NA,7,NA,7,7,7,NA,NA,NA,1,7,1,3,1,1,1,5,1,2,5,1,4,5,5,4,1,1,1,1,1,1,1,1,3,4,4,2,4,2,1,4,5,3,2,5,3,4,4,2,4,3,3,6,1,2,5,1,0,2,0,1,human response,human label,2.166666667,1,3.090909091,3.571428571,6.5,6.5,7,7,4,4,5,1.5,1,1,1
5efb31fa8cd32f04bf048643,1,4,6,2,1,3,36,female,3,3,,16,2,2,4,1,5,4,2,1,1,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,NA,6,NA,6,NA,NA,NA,6,6,6,1,6,1,1,1,1,1,1,1,1,6,1,5,5,6,1,1,1,1,1,1,2,2,2,5,5,1,1,5,1,1,1,6,5,1,1,2,1,1,1,1,6,4,6,1,1,2,1,2,2,0,2,ai response,ai label,0.833333333,NA,1.363636364,4.285714286,6,6,6,6,3.5,1,5.5,1,1,1,1
60b63b1f1d8a6fc4d72d5328,3,5,2,1,1,1,56,Female,2,3,,9,1,3,6,1,6,5,3,2,2,3,4,5,2,1,1,7,7,7,7,7,7,7,7,NA,7,NA,7,NA,NA,NA,7,7,7,6,2,7,1,2,7,1,2,2,5,4,2,1,4,4,5,6,5,1,6,5,6,4,5,7,6,7,5,7,4,4,4,7,7,6,7,6,7,4,1,5,7,1,4,1,1,2,1,0,1,0,5,human response,ai label,1.666666667,0.833333333,5,6.571428571,7,7,7,7,4,1.5,4,3,5.666666667,4,4.5
