conv_id,utterance_idx,context,prompt,speaker_idx,utterance,selfeval,tags,empathy1,relevance1,fluency1,empathy2,relevance2,fluency2
hit:401_conv:803,1,anxious,The result of my final college exams was to be published the next day_comma_I could hardly sleep due to expectations,25,The night WS the longest to me back then_comma_eager to know my score!,4|3|4_2|4|3,,4.0,3.0,4.0,2.0,4.0,3.0
hit:401_conv:803,2,anxious,The result of my final college exams was to be published the next day_comma_I could hardly sleep due to expectations,135,Did you think you did well?,4|3|4_2|4|3,,4.0,3.0,4.0,2.0,4.0,3.0
hit:401_conv:803,3,anxious,The result of my final college exams was to be published the next day_comma_I could hardly sleep due to expectations,25,Sure_comma_I put in my best ! I was positive!,4|3|4_2|4|3,,4.0,3.0,4.0,2.0,4.0,3.0
hit:401_conv:803,4,anxious,The result of my final college exams was to be published the next day_comma_I could hardly sleep due to expectations,135,That's awesome! It can be nerve racking,4|3|4_2|4|3,,4.0,3.0,4.0,2.0,4.0,3.0
hit:478_conv:956,1,afraid,when i was going for an interview i was so afraid as i could not tell the end results,171,it was just yesterday when i was going for an interview and personally i was so afraid because i did not know what were the end results,3|4|5_4|4|3,,3.0,4.0,5.0,4.0,4.0,3.0
hit:478_conv:956,2,afraid,when i was going for an interview i was so afraid as i could not tell the end results,63,Yea I know how you feel_comma_ you just feel like you are in purgatory waiting for your demise.,3|4|5_4|4|3,,3.0,4.0,5.0,4.0,4.0,3.0
hit:478_conv:956,3,afraid,when i was going for an interview i was so afraid as i could not tell the end results,171,actually i woke up early in the morning and prepared my self fully for the task ahead of me,3|4|5_4|4|3,,3.0,4.0,5.0,4.0,4.0,3.0
hit:478_conv:956,4,afraid,when i was going for an interview i was so afraid as i could not tell the end results,63,Yea but i mean afterwards you dont know if you passed the interview,3|4|5_4|4|3,,3.0,4.0,5.0,4.0,4.0,3.0
hit:478_conv:956,5,afraid,when i was going for an interview i was so afraid as i could not tell the end results,171,i just received a call that i did good in my interview and i qualified to work with them. this made me so happy,3|4|5_4|4|3,,3.0,4.0,5.0,4.0,4.0,3.0
hit:887_conv:1775,1,jealous,I felt really left out when my friends went to a theme park without me. It really bothers me that they didn't even tell me they were going. I really wish I could have gone,251,My friends left me to go to the theme park. I feel really left out. ,3|5|5_5|5|5,,3.0,5.0,5.0,5.0,5.0,5.0
