sp_id,rp_id,seeker_post,response_post,level_emotional_reactions,rationales_emotional_reactions,level_explorations,rationales_explorations,level_interpretations,rationales_interpretations
97keuy,e48xfwa,"For 10 years I have been questioning why my sister, who was more alive and happy about life than I ever was, had to die first. I don’t even like living. Why am I still here?!. I just hate this. What a flawed design.",So sorry for your loss,2,So sorry for your loss|,0,,0,
5ziak3,deyb83s,Hit 20 today and at my all time low. Hopefully I don't go any lower,Once you are at the bottom you can only go up. Hope things get better for you :),1,Hope things get better for you|,0,,0,
6l2ex7,djr0aur,"I'm tired. That's how I feel, not just physically but mentally too. Like the dim screen on a phone with no battery left. I just want to rest, but lately that makes it worse. Why does this feel so bad?",I know how that is. Resting feels like the right thing to do but it never quite works. Have you thought about taking a sleep aid? I take mirtazapine before bed and it makes me sleep better and I feel better the next day. More rested and alert. It is part of my strategy to finally lift my depression.,1,I know how that is.|,2,Have you thought about taking a sleep aid?|,2,I take mirtazapine before bed and it makes me sleep better and I feel better the next day. More rested and alert. It is part of my strategy to finally lift my depression.|
47jmki,d0djxlk,what is the easiest way to kill myself. I have no reason to live so please help me,"Sometimes you really need to be reminded of that other side and that you will in fact return to it. Don't make any big decisions when in the heat of the moment. Focus on other things (TV shows, artistic endeavours, school, etc) and return once you've cooled off. Good on you for reaching out for help, my friend. Despite these people not knowing you, we're all in this together. Keep your head up",1,"Despite these people not knowing you, we're all in this together. Keep your head up|",0,,0,
99yrsp,e4req4x,Happy. Is it possible to never be happy?,temporarily but it never seems to last,0,,0,,0,
7bae7a,dphh2hi,I.... just always depressed.. I ever think doing the right thing.,Me too..depression clouds our judgment. It gets really hard to think about things clearly. Hate this feeling but it won't go away yet.,0,,0,,2,Me too..depression clouds our judgment. It gets really hard to think about things clearly. Hate this feeling but it won't go away yet.|
7faqco,dqasc1x,"When my account hits zero, that's when I'll kill myself. Just wasting my money on food and weed constantly. Who cares. I saw this coming. Soon there won't be any money for gas. No time for work. Just death.",Stop the weed it works for.skme people,0,,0,,0,
8fzl06,dy7mpoe,"How do I tell my parents I'm a failure?. Failed most classes at uni, I got temporarily dropped cause of that but I'm just scared to tell them..",Just tell them straight up. I'm sure they will understand.,0,,0,,0,
5udu49,ddtar8i,"Feeling dead inside. For the last 1-2 weeks feeling nothing inside, like most of the other people, dont know what to do. Thoughts in the middle of the night well, i might die, i dont have what to live for. Literally void of nothing, black space.","As someone who's felt the same, what do you have? And I'm speaking objectively, because I typically don't want to admit that I have what I need when I feel as you do. Not that I'm saying that you do have a lot, but your post doesn't necessarily shed a lot of light on what's going on. It's easy, or it has been for me, at least, to say that I don't know what to live for, in the past. Somebody out there cares, man/woman, small or large. I don't know what your situation is, by your post, but feel free to message me if you want.",1,feel free to message me if you want.|,1,what do you have?|,2,As someone who's felt the same|
79ws1b,dp5j55v,"Does willingly refuse to take care of myself/willingly not avoid bad habits count as self-harm. Cause if it does, I do self harm.","Ya know it's funny, i've never cut, I rarely drink, have never been drunk, don't smoke(anything), only use prescribed meds. All my self harm is the kind that can be disguised as independent issues, like bad diet, lack of exercise, poor hygiene, too much time on my computer. I guess I don't want people to worry,",0,,0,,2,"I rarely drink, have never been drunk, don't smoke(anything), only use prescribed meds. All my self harm is the kind that can be disguised as independent issues, like bad diet, lack of exercise, poor hygiene, too much time on my computer.|"
41g07l,cz26vua,Wish I was never born. Not looking for attention or advice to look on the bright side just hoping to get some perspective on how I feel. And maybe what it means psychologically to feel this way. All of my life I've felt like the black sheep. I never fit in anywhere really. I wish I was never born. I feel like I haven't impacted anyone's life and if I did it was negative or non existent. I should feel like I have a purpose. I have been married 6 years two kids later but even then if I died tomo who would care? How would the world be different. I just spoke to my husband about(hoping to maybe get some comfort in knowing I impacted his life for the better?) this was his exact words were yeah well I see how you could think that that was it. It broke me and felt like it validated my point. This life feels life a prison. It feels worthless and sickening to know no matter where I go it does t really even matter. How many others feel this way????,"Yeah, I resonate with a lot of what you're saying. It's only on a place like here or a depression support group that you would find others that feel this way. Let me ask you this: what do you find joy or distraction in? Tell me everything you have tried.",1,"Yeah, I resonate with a lot of what you're saying. It's only on a place like here or a depression support group that you would find others that feel this way.|",2,Let me ask you this: what do you find joy or distraction in? Tell me everything you have tried.|,1,"Yeah, I resonate with a lot of what you're saying.|"
8ix424,dywk9hy,I'm ready. It's my own fault. I'm ready to go.,"What are your reasons? Let's talk. Part of you does not want to go. My guess is you feel you have nothing to live for, to grab onto in this life. Thus you posted on here hoping someone could change your view. (Maybe I'm wrong. Whatever. We can still talk.)",1,Let's talk.|We can still talk.|,1,What are your reasons?|,2,"My guess is you feel you have nothing to live for, to grab onto in this life. Thus you posted on here hoping someone could change your view.|"
78chdu,doss7uo,"For those who have taken effexor, what has it done for you?. looking to hear both pros and cons of the medication. if you are currently on or have taken effexor, what did it do for you? as with any ssri/snri, they affect everybody differently and I understand this","side effects were bad, but the withdrawal was worse than coming down from opiates. over a month later, having rebound headaches and dizziness. i would suggest never taking it!",0,,0,,2,"side effects were bad, but the withdrawal was worse than coming down from opiates. over a month later, having rebound headaches and dizziness.|"
6jy2ha,djhwgs6,"Its my dream to become a paramedic.. How fucking dumb is that. Im stupid, out of shape, very skinny. Probably couldn't lift 20 pounds. Im 6'1 120 lbs.","Hey, I just completed my EMT cert. Part of it we had to do an ambulance rotation and were paired with paramedics for a while. Honestly, the things that I got from my experience in EMT class and doing the ride along is that there are a lot of pretty stupid, not very competent, or physically fit people out there doing it. Im not saying that you wouldn't have to change anything, but like I guarantee that you could do it if you want to and would be better at it than some of the people out there working.",1,I|,0,,1,"Hey, I just completed my EMT cert. Part of it we had to do an ambulance rotation and were paired with paramedics for a while. Honestly, the things that I got from my experience in EMT class and doing the ride along is that there are a lot of pretty stupid, not very competent, or physically fit people out there doing it.|"
7f5fsf,dq9m34m,changes. i see no changes wake up in the morning and i ask myself is life worth living should i blast myself,"Each day repeats with the only change is it gets worse, preach man.",0,,0,,0,
6d8bpd,di0nlb2,What to do when you're on a real low?. I've had a good week after having a real shitty month. Now I feel low again and I'm all shaky and idk what to do.,"Take a shower. Go look at the night sky. Stare into space and realize how small we are compared to it. Be humbled. Read a book, watch some videos. Eat a snack. Touch yourself and give yourself a massage. lol theres some ideas off the top of my head",0,,0,,0,
982bo3,e4d9lz8,"How come I feel depressed whenever I smoke weed?. Even when my friends all are having fun when high, I feel sad. Why and what can I do","I get this to. I used to feel great then when I became depressed it started to trigger my anxieties. It's hard to know whether it enlightens you to things you didn't want to know or whether the it's just making you paranoid, but regardless it makes me feel down. It affects all people differently. Only thing I could suggest is having a beer or something with it to try and reduce your anxiety.",0,,0,,2,"I get this to. I used to feel great then when I became depressed it started to trigger my anxieties. It's hard to know whether it enlightens you to things you didn't want to know or whether the it's just making you paranoid, but regardless it makes me feel down.|"
6m2aki,djzoxjg,Getting a crush while depressed is terrible. You know nothing will happen and you can't get them out your head. At least it rivals suicidal thoughts in frequency though i guess.,"Yeah I have a crush on a girl who lives in my same city, she's just perfect, I'd like to talk to her often and to smile when she is near me but I'm just thinking if she would miss me if I die, I was also used to write her but then I stopped thinking that I was annoying her, now I hardly think she is just laughing about me with her friends but I can't get angry with her for that, she's too beautiful.",0,,0,,2,"Yeah I have a crush on a girl who lives in my same city, she's just perfect, I'd like to talk to her often and to smile when she is near me but I'm just thinking if she would miss me if I die|I was also used to write her but then I stopped thinking that I was annoying her, now I hardly think she is just laughing about me with her friends but I can't get angry with her for that, she's too beautiful.|"
9vo55d,e9eqspg,I told my psychiatrist that depression memes were a thing. Just waiting for him to find r/2meirl4meirl,But subs like /r/dragonsfuckingcars totally don't right?,0,,2,But subs like /r/dragonsfuckingcars totally don't right?|,0,
88gtly,dwki84l,Pale. Self destruction will probably end me.,The fires we start burn ourselves sometimes.,0,,0,,0,
5oc1v6,dcia967,Does anyone else find it hard to enjoy things because you're constantly worried about being depressed again?. Like it's the only thing on your mind and you feel sort of scared that you're going to be sad again.,I'm not afraid to enjoy things - but - I'm afraid to stress myself by having expectations of great times or great results from things I plan. I try not to expect anything at all - because if I'm disappointed it could drop me waaaaaaay down.,0,,0,,0,
92z9nn,e3a2xof,I'm very tired. I think I'd just like to lie down,Same. I just want to sleep and never wake up.,0,,0,,2,Same. I just want to sleep and never wake up|
88x2l7,dwnvlat,"When does it get better?. I've been on an ssri for three months, running 5km nearly every day, and seeing a counsellor. I feel like I am getting worse. I'm losing all motivation to continue putting in any effort what so ever to be better","I'm in a really depressed mood right now, which caused me to say it doesn't. But if you're losing motivation right now, there are many many ways to feel better that I'm guessing you haven't tried. And I think these things are individual, so it's hard to find the certain things, but I know you can do it. And maybe try a different counsellor if they aren't the best fit. How's your diet? How are you doing socially? So never lose hope.",1,I know you can do it.|So never lose hope.|,2,How's your diet?|How are you doing socially?|,2,"I'm in a really depressed mood right now, which caused me to say it doesn't.|"
ajccfi,eeujjeh,can’t go to school anymore. i been to college in weeks because i just have no motivation to go. i know i should go but i just care anymore. i care about my future anymore. everything feels so pointless and struggling to find any reason to live,"I remember when I was in a deep stage of depression I always begged my mother to let me stay home. Even when she drove me to school, I would catch a bus to the shops and ditch school. (Never got caught hehe) Anyway, I just felt so.. bored of school and so sick of all the shit that went down there. Instead, I decided to live my life, have fun, sleep, ditch school or do whatever and just live the life as I wanted to. If you cant find motivation in one thing, than find motivation in another. After all we're all gonna die one day, live your life as you want.",1,"If you cant find motivation in one thing, than find motivation in another. After all we're all gonna die one day, live your life as you want.|",0,,2,"I remember when I was in a deep stage of depression I always begged my mother to let me stay home. Even when she drove me to school, I would catch a bus to the shops and ditch school.|"
5pklsj,dcs78f7,Someone jumped in front of a train near my house and I can't help feeling jealous.. I wish I could be that brave.,"I'm from Germany, so waiting for the fucking train is no option, would more likely freeze to death waiting",0,,0,,0,
78539v,dor647q,"I told my boyfriend today that i have been feeling really unmotivated this semester. And he tells me, Here's the thing, I take a pill. Taking a pill is not an option for you. Have you tried forcing yourself to be motivated?. I just told him thanks. I feel hurt, but I can't explain why or if I should even feel this way. I don't know.","I feel the same way, I am single and have problems socially. So being alone makes my motivation worse and makes me really depressed. I am failing most of my classes this semester and don't seem to have motivation to make a rebound. Just know that theres people out there going through what your going through and I am here to at least give you assurance that you aren't alone in situations like this. I don't like it when people tend to say just force yourself to be motivated, but I am just lazy and hopeless at this point. I wish the best for you and I actually was on pill medication for this sort of stuff at a point, so if you got questions about that or anything in general maybe I can make use of myself and help someone out who needs it more than I do.",1,"I wish the best for you and I actually was on pill medication for this sort of stuff at a point, so if you got questions about that or anything in general maybe I can make use of myself and help someone out who needs it more than I do.|Just know that theres people out there going through what your going through and I am here to at least give you assurance that you aren't alone in situations like this.|",0,,2,"feel the same way, I am single and have problems socially. So being alone makes my motivation worse and makes me really depressed. I am failing most of my classes this semester and don't seem to have motivation to make a rebound.|I don't like it when people tend to say just force yourself to be motivated, but I am just lazy and hopeless at this point.|"
4re82s,d50d07m,i fucking manned up and told my SO what my priorities were. i feel anxious like hell but it feels pretty good.,"Good for you! I know for me, speaking up for myself can be hard. But it's a step in the journey!",0,,0,,2,"I know for me, speaking up for myself can be hard.|"
9y3cea,eb4ngh9,"Having a will to live is insanity. I firmly belive that wanting to live this hell hole of a struggle called life is completely bat shit insane. Who in the fuck can justify all the misery for the little dopamine Highs we get every so often. Maybe the suicidal ones are the sane ones, the ones who understand that it just dosnt fuckin matter. Life fuckin sucks, it's a fact. How are we the mentally Ill ones for understanding that to its truest extent. We see life as it is, a fucking hellhole that's justified by bullshit excuses.",what life path are you,0,,2,what life path are you|,0,
9u1441,e90or0r,idk what’s worse. being alone or not wanting to be alone,Being alone is difficult. Honestly it helps to reach out. I reconnected with an old friend. We hadn't been in touch for couple years over a petty argument and a bad experience being roommates. Anyone in your life you could reach out to?,1,Being alone is difficult.|,2,Anyone in your life you could reach out to?|,2,I reconnected with an old friend. We hadn't been in touch for couple years over a petty argument and a bad experience being roommates.|
a2bynd,eawx6f6,Sad and drunk. That's me right now. I've been trying everything to get better but I can't. But I also don't freel like I have the strength to kill myself. It's so hard being in between like this,I feel that it's hard to exist. It hurts. But I'm scared to kill my self. What if things get better? If I killed myself I wouldn't be there to enjoy the things in life that I wish for. what the fuck do I do?,1,I feel that it's hard to exist. It hurts.|,1,what the fuck do I do?|,2,But I'm scared to kill my self. What if things get better? If I killed myself I wouldn't be there to enjoy the things in life that I wish for.|
7yo4vo,duhyac3,I’ve been fighting tears all day today.. been at work since 7am and been fighting back tears all damn day. just so damn lonely. I have friends and a gf but for some reason just not happy and I feel like I have nobody.,"I feel the same and i think its because i have nobody to talk to, nobody to be vulnerable to and let them know how i feel inside. Why dont you try to talk to your girlfriend, i bet if she'd new she'd try to help. Open up to her! Hope it goes well :)",1,Hope it goes well|,2,Why dont you try to talk to your girlfriend|,2,"I feel the same and i think its because i have nobody to talk to, nobody to be vulnerable to and let them know how i feel inside.|"
aivw81,eer413s,"Does anyone else get depressed after/while reading a romantic story because you just feel so unlovable and hopeless. Bc I do, and I want to relate to someone desperately",I dont read romantic books but this is why I hate romantic movies/shows,0,,0,,2,I dont read romantic books but this is why I hate romantic movies/shows|
9v6l4y,e9a6rlo,I feel like I'm sinking. My time is almost up,Why do you feel your time is almost up?,0,,1,Why do you feel your time is almost up?|,0,
46rnxz,d07n05c,"Physical Pain Caused by Depression. I was wondering what other people's experience with physical pain caused by depression has been? I'm referring to the pain that feels like your heart has been shredded to pieces and anything like that, not including pain from your mind. Has painkillers (like ibuprofen) helped to get ease that or has that not really worked for anyone?","Yes, I sometimes have that type of pain. Ibuprofen definitely doesn't help. I don't know of anything that does.",0,,0,,2,"Yes, I sometimes have that type of pain. Ibuprofen definitely doesn't help. I don't know of anything that does.|"
