id,user_id,conversation_id,validating_emotions,validating_emotions_example,encouraging_elaboration,encouraging_elaboration_example,demonstrating_understanding,demonstrating_understanding_example,self_oriented,self_oriented_example,advice_giving,advice_giving_example,dismissing_emotions,dismissing_emotions_example,time_created
33,f1a0015e51cf59791c0484c4f69d18a9,20241031144237228364,4,I'm so sorry to hear that.,3,Can you ask for more feedback?,3,"You probably are making progress, but you just can't see it right now. You are an awesome person, and I know you break through on one of these promotions. I'm here to help you stay positive!",2,"Hey, I'm in this with you. I will be here to listen and to help",3,Let's get together and you can tell me about the interview questions and your answers. Then maybe we can identify some areas for you to work on. I'm sorry you are going through this,2,Timing is always a finicky thing.,2024-12-22 00:43:34.996380
36,e961dc09b1ea1e507dc1414fc701f786,20241031144237228364,5,"Hey, I'm in this with you. I will be here to listen and to help.",5,Can you ask for more feedback?,5,Let's get together and you can tell me about the interview questions and your answers. Then maybe we can identify some areas for you to work on. I'm sorry you are going through this,1,Let's get together and you can tell me about the interview questions and your answers. Then maybe we can identify some areas for you to work on. I'm sorry you are going through this.,5,"You probably are making progress, but you just can't see it right now. You are an awesome person, and I know you break through on one of these promotions. I'm here to help you stay positive!",3,Timing is always a finicky thing.,2024-12-22 00:45:18.115154
38,f1a0015e51cf59791c0484c4f69d18a9,20241031143614621777,5,"I'm sure that was so difficult, even if you did feel it coming. I would feel the same way.",3,"Wow, I am so sorry to hear that. Do you want to talk about it?",3,"'m sure that was so difficult, even if you did feel it coming. I would feel the same way.",2,I think it is very smart to make sure to take the time to mourn something that was so important to you. I am here whenever you need me.,2,I'm sure it does feel really daunting. I would feel the same way. Do you think you need more time to process emotionally before moving forward?,1,"I'm sure that was so difficult, even if you did feel it coming. I would feel the same way.",2024-12-22 00:46:25.628638
41,f1a0015e51cf59791c0484c4f69d18a9,20241031143107374365,1,I totally get that. Is there anything you are even a little excited about? Maybe this is a chance to try something new and exciting?,4,I totally get that. Is there anything you are even a little excited about? Maybe this is a chance to try something new and exciting?,2,I am so sorry to hear that. Did you get any severance?,5,What can I do right now to help?,5,I think you need to focus on one day at a time. It's normal to feel bummed right now. You need to do something to take your mind off this for today. Then start working on the next thing tomorrow.,5,I think you need to focus on one day at a time. It's normal to feel bummed right now. You need to do something to take your mind off this for today. Then start working on the next thing tomorrow.,2024-12-22 00:48:57.932618
43,2ecefb3c42f7cd11c403321a30fe0a09,20241031145103738386,3,"Oh no! I'm sorry to hear that. What position was it?
",4,"Oh no! I'm sorry to hear that. What position was it?
",3,"Sometimes it is out of our control, but it may very well have nothing to do with you
",1,N/A,1,N/A,2,"Sometimes it is out of our control, but it may very well have nothing to do with you
",2024-12-22 00:49:56.295163
44,f1a0015e51cf59791c0484c4f69d18a9,20241031144350174874,5,"I feel that way all of the time. One thing I know is that it gets better. Do you think there's anything else that's piling on, also?",3,What do you think might make you feel better? Or maybe what might bring that balance back?,3,"Ugh, I know the feeling. Sincerely. I know that sometimes I never feel like I'm doing enough at work or at home. I just want what's best for everyone. I know you do, too. Just keep trying your hardest",3,What else can I do?,2,I feel that. Maybe if we both set better boundaries at work we could improve our home life! I'm glad you messaged me.,1,"Ugh, I know the feeling. Sincerely. I know that sometimes I never feel like I'm doing enough at work or at home. I just want what's best for everyone. I know you do, too. Just keep trying your ha",2024-12-22 00:51:02.313672
52,e961dc09b1ea1e507dc1414fc701f786,20241031145848519908,5,"I'm so sorry, I know how hard you worked for this and it must feel crushing",2,"I know it's tough that it feels like it was all for nothing, but you shouldn't lose sight of the fact that you're a good, hard-working person",4,"I know it's tough that it feels like it was all for nothing, but you shouldn't lose sight of the fact that you're a good, hard-working person",4,"That can be helpful, and I'll always be here if you want to talk more",5,"We'll move forward together, I know without a doubt that there's plenty of opportunity for someone like you",4,"Feeling uncertain about the future is always stressful, so you're not alone in this",2024-12-22 00:55:50.411698
54,3384a2dbc6939e3574f1779ff32d781c,20241031144856903579,4," Dont worry too much you will. Just spend some time thinking about what you wanna do, make lists, write in a journal ",2, I'm sure you will. Youre smart and amazing. You'll figure everything out ,3, I understand. Take some time away and process everything. Get all your eggs in one basket and see whats out there. ,4, Have you applied to any other jobs? ,3," I'm here to help you if needed. I know it can be hard, but everything will be okay ",5, im so sorry to hear about that. Do you wanna talk about what happened? ,2024-12-22 00:58:51.575321
56,e961dc09b1ea1e507dc1414fc701f786,20241031144225966527,5,I hate to hear this. Do you need me to just listen right now?,5,What exactly is going on if you don't mind me asking and how do you need me to show up for you during this time?,4,"Ugh, is there any possibility that you can get some time off to get a breather?",5,"Please be kind to yourself and give yourself grace. I know it does not seem like things will be okay, but they definitely will get better. Prioritizing yourself can be hard but, take one step at a time. Take a walk and clear your mind, maybe that would be a good start?",5,Don't every feel like you are letting ANYONE down. You're mental health is the most important out of everything. You can't show up in the areas that you need to if you are not in the best space.,5,"Every small step is a milestone, remember that. You are loved, seen and heard",2024-12-22 01:00:57.340464
57,3384a2dbc6939e3574f1779ff32d781c,20241031145710438129,5, There you go. I agree with you that you need to reflect on what you want in your next role so its way better than this one. Do you mind sharing what you look forward to in your next role? ,4, Exactly. You are. The setback doesn't define you. So what do you intend doing right away ,3," In as much as things could get tough from here, what happens if your approach suffers a setback ",4," To be honest, your approach is so amazing and a testament to how strong you are ",4," To be honest, your approach is so amazing and a testament to how strong you are ",4, And how do you plan on scaling this new challenge ,2024-12-22 01:01:25.075287
